Start	Message	Estimated p1	Estimated p2	PAYOFF	Simulations
1617	OK	     1.36792	      2.7664	             -118556	189061
1618	OK	     2.74897	     2.29516	           -0.636713	189356
1619	OK	    0.880699	      2.9144	             -183845	189454
1620	OK	    0.730429	     2.95839	             -203781	189544
1621	OK	     2.74548	     2.29659	           -0.378267	189860
1622	OK	     2.74746	      2.2959	           -0.279355	190190
1623	OK	       2.748	     2.29556	           -0.163288	190394
1624	OK	     1.95599	     2.57719	            -47652.9	190476
1625	OK	     2.74637	     2.29629	           -0.296953	190755
1626	OK	     1.08933	     2.85212	             -155864	190855
1627	OK	     2.74761	     2.29588	           -0.673053	191128
1628	OK	           0	     3.16973	             -297520	191220
1629	OK	      2.7491	     2.29521	           -0.290848	191415
1630	OK	    0.764082	     2.94877	             -199416	191503
1631	OK	     1.10032	     2.84822	             -154124	191613
1632	OK	    0.277292	     3.08925	             -262428	191714
1633	OK	    0.342296	     3.07108	             -254415	191823
1634	OK	   0.0553902	     3.15225	             -289685	191927
1635	OK	    0.246079	     3.09855	             -266506	192027
1636	OK	     2.74774	     2.29572	          -0.0144656	192224
1637	OK	     2.74843	     2.29536	           -0.520294	192517
1639	OK	      2.7473	      2.2958	           -0.312249	192681
1640	OK	     2.37087	     2.43404	            -12329.7	192763
1641	OK	     2.74677	     2.29609	          -0.0411086	192953
1642	OK	      1.2189	     2.81194	             -138143	193046
1643	OK	     2.75012	      2.2948	           -0.751743	193262
1646	OK	   0.0489176	     3.15389	             -290376	193369
1647	OK	     2.74749	     2.29596	            -1.19994	193653
1648	OK	      2.7474	     2.29592	           -0.279855	193860
1650	OK	    0.382654	      3.0592	             -249147	193943
1651	OK	     2.74809	      2.2957	            -0.68547	194157
1652	OK	     2.29938	     2.45914	            -17034.4	194236
1653	OK	     1.66881	     2.67114	            -80264.5	194322
1654	OK	     2.74723	     2.29597	           -0.227547	194601
1655	OK	           0	      3.1771	             -308388	194680
1656	OK	           0	     3.16827	             -296517	194765
1657	OK	     2.74514	     2.29678	           -0.914827	194972
1658	OK	     2.74761	     2.29582	           -0.173001	195271
1659	OK	     1.32714	     2.77893	             -123876	195351
1660	OK	    0.235087	      3.1017	             -267884	195439
1661	OK	  0.00846411	     3.16474	             -294984	195544
1662	OK	           0	      3.1767	             -307543	195625
1663	OK	     2.74549	     2.29658	           -0.374284	195909
1666	OK	      2.7466	     2.29621	           -0.311447	196095
1667	OK	    0.647849	     2.98287	             -214867	196180
1668	OK	     2.74637	      2.2963	           -0.313846	196463
1669	OK	     1.36148	     2.76846	             -119430	196559
1670	OK	     2.29504	     2.46137	            -17478.9	196638
