Start	Message	Estimated p1	Estimated p2	PAYOFF	
2089	OK	     5.53817	     53.6154	       -6.22135e+199	
2091	OK	     9.95434	     20.9677	         -2.6871e+81	
2092	OK	      9.6678	     36.4319	       -1.15599e+139	
2093	OK	      9.0381	     42.1928	       -1.19891e+160	
2094	OK	     3.11493	     4.72917	        -7.30427e+14	
2095	OK	     5.56116	     29.7029	       -2.03801e+110	
2096	OK	     2.04691	     18.2003	        -1.59477e+64	
2097	OK	     1.54138	      7.9161	        -1.92203e+25	
2098	OK	     9.07657	     14.8636	        -6.60034e+57	
2099	OK	     6.27049	     33.6372	       -4.48188e+125	
2102	OK	     7.43949	      32.358	       -7.56618e+121	
2103	OK	     8.52708	    0.415605	        -2.70414e+09	
2104	OK	     8.34494	     22.3258	        -1.30285e+85	
2105	OK	     4.43048	     11.0736	        -3.97406e+39	
2106	OK	     5.18093	     7.34311	        -2.02903e+26	
2107	OK	     6.46205	     73.5079	       -1.13163e+275	
2108	OK	     3.60006	     65.0443	       -7.73529e+240	
2110	OK	     4.22118	     40.0018	       -4.94238e+147	
2111	OK	     9.10184	     39.3531	       -3.20055e+149	
2112	OK	      8.4107	    0.709031	        -2.99913e+09	
2113	OK	     1.56757	     70.0924	       -1.04327e+258	
2114	OK	      8.2808	     18.3897	        -2.11878e+70	
2115	OK	     7.37392	     64.6303	       -4.13892e+242	
2117	OK	     2.95345	     77.2939	       -1.50378e+286	
2118	OK	    0.440545	     5.76506	        -2.13481e+16	
2121	OK	     1.89462	     81.8754	       -2.54789e+302	
2123	OK	    0.130218	     51.3167	       -3.10852e+186	
2124	OK	     8.76041	     8.66325	        -2.21356e+34	
2126	OK	     5.64897	       76.65	       -1.28368e+286	
2127	OK	     2.88038	       55.43	       -1.89262e+204	
2129	OK	     1.89824	    0.558145	        -6.57303e+06	
2130	OK	     4.85857	     25.5413	        -1.32529e+94	
2131	OK	     5.30362	     23.5795	        -1.46457e+87	
2132	OK	     1.93113	     28.5437	       -6.56514e+102	
2133	OK	    0.128684	     7.02845	        -5.57784e+20	
2134	OK	     1.77808	     17.8808	        -5.93219e+62	
2135	OK	     5.88615	    0.118272	        -2.90822e+06	
2137	OK	     1.21213	       51.02	       -2.09642e+186	
2138	OK	     3.06273	     74.0637	        -1.5191e+274	
2139	OK	     8.22448	     18.3016	        -8.86199e+69	
2140	OK	     8.27678	     26.5436	         -6.965e+100	
2141	OK	     4.60946	     47.4502	       -8.14258e+175	
2142	OK	     3.99457	     32.7033	       -1.50982e+120	
2143	OK	     9.03058	     47.0648	       -2.03373e+178	
2144	OK	    0.998559	     33.9327	        -1.5085e+122	
2145	OK	     7.48104	     47.1825	       -2.52814e+177	
2146	OK	     2.14117	       25.39	        -1.56922e+91	
2148	OK	     1.16173	     28.6336	       -3.05999e+102	
2149	OK	     7.26384	     55.7949	        -2.8212e+209	
2150	OK	     7.67289	     63.6723	       -1.95285e+239	
2154	OK	     1.35932	     30.7297	       -3.18239e+110	
2155	OK	     5.22377	     53.1957	       -8.90994e+197	
2156	OK	     1.80119	     74.6993	       -2.91582e+275	
2157	OK	     4.73973	     6.65504	        -2.30159e+23	
2158	OK	     8.53585	     70.5301	       -5.12041e+265	
2159	OK	     5.62175	     63.4468	       -4.62763e+236	
2160	OK	    0.482613	     19.8584	        -1.12227e+69	
2161	OK	    0.655802	     20.3514	        -1.11137e+71	
2162	OK	     6.01304	     26.0244	        -8.57069e+96	
2163	OK	     8.42752	     15.9865	        -2.87533e+61	
2164	OK	     7.10683	     28.2612	       -1.80118e+106	
2165	OK	     5.04803	     75.9417	       -8.61544e+282	
2166	OK	     6.52239	     35.4398	       -4.14354e+132	
2167	OK	      3.6121	      75.909	       -3.67905e+281	
2168	OK	     6.63901	      60.611	       -8.60061e+226	
2169	OK	     1.71628	     8.02733	        -7.09537e+25	
2170	OK	     3.82717	     66.1745	       -2.07133e+245	
2171	OK	     6.94411	      74.478	       -1.26977e+279	
2172	OK	      9.4315	     48.9975	       -7.77385e+185	
2173	OK	     1.47992	      24.562	        -3.32531e+87	
2174	OK	     1.60995	     22.4656	        -6.13742e+79	
2175	OK	    0.863834	      15.131	         -4.8615e+51	
2176	OK	      8.9525	     30.4959	        -1.6722e+116	
2178	OK	    0.453249	     78.6429	       -1.13507e+289	
2180	OK	     2.35264	     2.10086	        -2.39246e+06	
2181	OK	     3.53492	     4.07959	        -8.27609e+12	
2182	OK	     2.25689	     5.87225	        -2.00857e+18	
2183	OK	     6.43551	     67.5136	       -3.92576e+252	
2184	OK	     1.51042	     5.51498	         -2.1732e+16	
2187	OK	     6.38409	     20.5528	        -5.96032e+76	
2188	OK	     4.01503	     33.9464	       -7.07328e+124	
2189	OK	     4.97275	      10.615	         -2.2613e+38	
2190	OK	     1.15785	     54.0631	       -4.62187e+197	
2191	OK	     1.63895	    0.841332	        -6.58741e+06	
2192	OK	      7.1096	     34.4568	       -2.80579e+129	
2194	OK	     6.86131	     46.7692	       -2.07743e+175	
2196	OK	     8.55736	     72.1872	       -8.51698e+271	
2198	OK	     7.63046	     55.8954	       -1.39649e+210	
2199	OK	     7.41316	     75.0368	       -4.00509e+281	
2200	OK	     2.64592	     36.7659	       -1.63642e+134	
2201	OK	     2.31197	     44.4531	       -4.97707e+162	
2202	OK	     4.88684	     67.1869	       -1.06171e+250	
