company_id,Y_primary,Y_MA_upper,Y_MA_lower,at_risk
460214-65,0.0,0.0,0.0,True
482606-11,0.0,0.0,0.0,True
300805-12,0.0,0.0,0.0,True
434970-73,0.0,0.0,0.0,True
85687-03,0.0,0.0,0.0,True
439502-32,0.0,0.0,0.0,True
279513-10,1.0,1.0,1.0,True
118405-99,0.0,0.0,0.0,True
439181-11,0.0,0.0,0.0,True
264574-45,0.0,0.0,0.0,True
454345-48,0.0,0.0,0.0,True
435004-03,0.0,0.0,0.0,True
327456-82,0.0,0.0,0.0,True
143234-65,0.0,0.0,0.0,True
484014-97,0.0,0.0,0.0,True
221740-93,0.0,0.0,0.0,True
118121-59,0.0,0.0,0.0,True
164124-37,0.0,0.0,0.0,True
163568-80,0.0,0.0,0.0,True
481835-26,0.0,0.0,0.0,True
466084-27,0.0,0.0,0.0,True
482246-56,0.0,0.0,0.0,True
277878-34,0.0,0.0,0.0,True
482722-57,0.0,0.0,0.0,True
121558-06,0.0,0.0,0.0,True
454259-35,0.0,0.0,0.0,True
433639-00,0.0,0.0,0.0,True
433053-10,0.0,0.0,0.0,True
433383-13,0.0,0.0,0.0,True
416610-10,0.0,0.0,0.0,True
432436-24,1.0,1.0,1.0,True
467816-68,0.0,0.0,0.0,True
265473-82,0.0,0.0,0.0,True
438739-84,0.0,0.0,0.0,True
99322-21,0.0,0.0,0.0,True
442579-96,0.0,0.0,0.0,True
129147-13,0.0,0.0,0.0,True
179846-02,1.0,1.0,1.0,True
170517-97,1.0,1.0,1.0,True
437117-95,0.0,0.0,0.0,True
459618-04,0.0,0.0,0.0,True
398922-67,0.0,0.0,0.0,True
55542-88,0.0,0.0,0.0,True
56495-44,1.0,1.0,1.0,True
470664-19,0.0,0.0,0.0,True
171888-13,0.0,0.0,0.0,True
133890-22,0.0,0.0,0.0,True
436319-11,0.0,0.0,0.0,True
454829-77,0.0,0.0,0.0,True
483849-64,0.0,0.0,0.0,True
458695-54,0.0,0.0,0.0,True
323360-11,0.0,0.0,0.0,True
467766-73,0.0,0.0,0.0,True
177473-35,0.0,0.0,0.0,True
482849-74,0.0,0.0,0.0,True
107938-81,0.0,0.0,0.0,True
434145-97,0.0,0.0,0.0,True
278949-34,,1.0,0.0,True
187833-88,1.0,1.0,1.0,True
438269-77,0.0,0.0,0.0,True
416589-67,0.0,0.0,0.0,True
327216-52,0.0,0.0,0.0,True
483682-33,0.0,0.0,0.0,True
113185-27,0.0,0.0,0.0,True
229468-87,1.0,1.0,1.0,True
462150-91,0.0,0.0,0.0,True
433536-85,0.0,0.0,0.0,True
438777-10,0.0,0.0,0.0,True
264537-46,,1.0,0.0,True
471852-01,0.0,0.0,0.0,True
453354-76,0.0,0.0,0.0,True
471890-35,0.0,0.0,0.0,True
436325-86,0.0,0.0,0.0,True
267050-44,0.0,0.0,0.0,True
266078-71,0.0,0.0,0.0,True
483611-14,0.0,0.0,0.0,True
265681-00,0.0,0.0,0.0,True
399708-55,0.0,0.0,0.0,True
463504-51,0.0,0.0,0.0,True
469067-14,0.0,0.0,0.0,True
442279-45,0.0,0.0,0.0,True
458356-33,0.0,0.0,0.0,True
296869-06,0.0,0.0,0.0,True
