CompanyID,baseline,2.0yr,2.5yr,3.0yr,3.9yr
101673-01,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101677-06,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
101678-95,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101683-45,Early Stage VC,Early Stage,Other,Other,Other
101706-67,Early Stage VC,Other,Other,Other,Other
101720-44,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
101733-94,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
101734-39,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101738-44,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
101748-16,Early Stage VC,Early Stage,Other,Other,Other
101792-71,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101798-38,Early Stage VC,Later Stage,Later Stage,Early Stage,Early Stage
101809-18,Early Stage VC,Other,Other,Other,Other
101813-59,Early Stage VC,Other,Other,Other,Other
101831-32,Early Stage VC,Early Stage,Early Stage,Other,Other
101848-51,Early Stage VC,Early Stage,Other,Other,Other
101880-91,Early Stage VC,Later Stage,Later Stage,Other,Other
101895-40,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
101901-43,Early Stage VC,Other,Other,Other,Other
101909-62,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101923-12,Early Stage VC,Early Stage,Early Stage,Other,Other
101926-72,Early Stage VC,Other,Other,Other,Other
101931-76,Early Stage VC,Early Stage,Other,Other,Other
101938-87,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101956-60,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101961-37,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
101972-26,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
101991-16,Early Stage VC,Later Stage,Other,Other,Other
101991-25,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101991-70,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102023-74,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102070-00,Early Stage VC,Other,Other,Other,Other
102070-09,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102103-03,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102122-20,Early Stage VC,Other,Other,Other,Other
102127-96,Early Stage VC,Later Stage,Other,Other,Other
102141-37,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102146-14,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102156-94,Early Stage VC,Other,Other,Other,Other
102181-78,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102192-04,Early Stage VC,Other,Other,Other,Other
102197-80,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102214-99,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102237-76,Early Stage VC,Early Stage,Early Stage,Early Stage,Later Stage
102249-10,Early Stage VC,Early Stage,Other,Other,Other
102255-31,Early Stage VC,Later Stage,Other,Other,Other
102259-81,Early Stage VC,Other,Other,Other,Other
102269-89,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102292-84,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102298-06,Early Stage VC,Later Stage,Later Stage,Other,Other
102305-62,Early Stage VC,Early Stage,Early Stage,Other,Other
102310-39,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102346-93,Early Stage VC,Other,Other,Other,Other
102352-24,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102374-02,Early Stage VC,Other,Other,Other,Other
102385-00,Early Stage VC,Later Stage,Later Stage,Other,Other
102394-99,Early Stage VC,Other,Other,Other,Other
102399-13,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102434-95,Early Stage VC,Later Stage,Other,Later Stage,Later Stage
102441-97,Early Stage VC,Later Stage,Later Stage,Other,Other
102465-46,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102469-06,Early Stage VC,Other,Other,Other,Other
102471-04,Early Stage VC,Early Stage,Early Stage,Early Stage,Later Stage
102471-22,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102514-24,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102542-95,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102573-37,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102614-68,Early Stage VC,Other,Other,Other,Other
102641-86,Early Stage VC,Early Stage,Later Stage,Later Stage,Other
102680-38,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102684-61,Early Stage VC,Other,Later Stage,Later Stage,Later Stage
102706-66,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
102714-49,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102728-89,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102742-84,Early Stage VC,Early Stage,Other,Other,Other
102744-73,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102748-33,Early Stage VC,Other,Other,Other,Other
102757-78,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102765-61,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102766-15,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
102767-59,Early Stage VC,Other,Other,Other,Other
102767-77,Early Stage VC,Early Stage,Other,Other,Other
102768-31,Early Stage VC,Other,Other,Other,Other
102775-51,Early Stage VC,Other,Other,Other,Other
102790-00,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102795-85,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
102817-27,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102847-96,Early Stage VC,Other,Other,Other,Other
102855-88,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102859-21,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102871-18,Early Stage VC,Other,Other,Other,Other
102887-02,Early Stage VC,Other,Other,Other,Other
102908-89,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102909-79,Early Stage VC,Other,Other,Other,Other
102920-86,Early Stage VC,Other,Other,Other,Other
102931-39,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
102944-71,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102948-94,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
102951-55,Early Stage VC,Other,Other,Other,Other
103037-86,Early Stage VC,Other,Other,Other,Other
103057-03,Early Stage VC,Other,Other,Other,Other
103073-23,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103083-67,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103107-43,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103132-99,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103136-86,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
103188-43,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103224-97,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103227-76,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
103236-31,Early Stage VC,Early Stage,Early Stage,Other,Other
103237-12,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103250-53,Early Stage VC,Later Stage,Later Stage,Other,Other
103257-73,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103286-53,Early Stage VC,Early Stage,Other,Other,Other
103295-98,Early Stage VC,Later Stage,Later Stage,Other,Other
103335-85,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103344-49,Early Stage VC,Missing,Missing,Missing,Missing
103349-98,Early Stage VC,Other,Other,Other,Other
103362-40,Early Stage VC,Other,Other,Other,Other
103376-17,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103398-85,Early Stage VC,Early Stage,Early Stage,Early Stage,Later Stage
103409-11,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
103411-09,Early Stage VC,Early Stage,Early Stage,Other,Other
103415-86,Early Stage VC,Other,Other,Other,Other
103425-22,Early Stage VC,Later Stage,Later Stage,Other,Later Stage
103439-80,Early Stage VC,Other,Other,Other,Other
103448-53,Early Stage VC,Early Stage,Other,Other,Other
103453-12,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103475-44,Early Stage VC,Early Stage,Other,Other,Other
103499-20,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103500-55,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103505-59,Early Stage VC,Early Stage,Later Stage,Later Stage,Other
103520-71,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103521-79,Early Stage VC,Later Stage,Other,Other,Later Stage
103523-50,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103526-47,Early Stage VC,Other,Other,Other,Other
103532-86,Early Stage VC,Later Stage,Other,Other,Other
103544-74,Early Stage VC,Other,Other,Other,Other
103593-34,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103641-58,Early Stage VC,Other,Other,Other,Other
103651-21,Early Stage VC,Other,Other,Other,Other
103652-20,Early Stage VC,Other,Later Stage,Later Stage,Later Stage
103684-51,Early Stage VC,Other,Other,Other,Other
103689-19,Early Stage VC,Other,Other,Other,Other
103690-27,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103691-71,Early Stage VC,Early Stage,Early Stage,Other,Other
103693-24,Early Stage VC,Other,Other,Other,Other
103700-62,Early Stage VC,Later Stage,Later Stage,Other,Other
103712-50,Early Stage VC,Other,Other,Other,Other
103725-10,Early Stage VC,Other,Other,Other,Other
103746-25,Early Stage VC,Other,Other,Other,Other
103746-70,Early Stage VC,Early Stage,Other,Other,Other
103751-92,Early Stage VC,Other,Other,Other,Other
103765-69,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103780-72,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
103782-52,Early Stage VC,Other,Other,Other,Other
103794-31,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103804-84,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103842-46,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103844-71,Early Stage VC,Other,Other,Other,Other
103853-71,Early Stage VC,Early Stage,Early Stage,Later Stage,Other
103883-77,Early Stage VC,Other,Other,Other,Other
103889-35,Early Stage VC,Early Stage,Other,Other,Other
103897-45,Early Stage VC,Other,Other,Other,Other
103908-25,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103931-74,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103931-92,Early Stage VC,Later Stage,Other,Other,Other
103934-89,Early Stage VC,Missing,Missing,Missing,Missing
103945-51,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
103949-83,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
103959-10,Early Stage VC,Other,Other,Other,Other
103997-98,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104003-65,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104005-09,Early Stage VC,Later Stage,Later Stage,Other,Other
104008-06,Early Stage VC,Later Stage,Other,Other,Other
104020-39,Early Stage VC,Other,Other,Other,Other
104037-40,Early Stage VC,Other,Other,Other,Other
104042-80,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104046-31,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104054-14,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104056-57,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104061-79,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104078-89,Early Stage VC,Later Stage,Other,Other,Other
10408-24,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104080-51,Early Stage VC,Other,Other,Other,Other
104107-96,Early Stage VC,Early Stage,Early Stage,Early Stage,Later Stage
104111-02,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104148-28,Early Stage VC,Later Stage,Later Stage,Other,Other
104158-36,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
104168-80,Early Stage VC,Early Stage,Early Stage,Other,Other
104175-82,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104193-55,Early Stage VC,Other,Other,Other,Other
104193-91,Early Stage VC,Early Stage,Early Stage,Other,Other
104250-88,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
104276-44,Early Stage VC,Early Stage,Early Stage,Other,Other
104277-70,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104290-21,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104295-61,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104297-32,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104307-58,Early Stage VC,Early Stage,Early Stage,Later Stage,Later Stage
104332-78,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104344-48,Early Stage VC,Other,Other,Other,Other
104345-29,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104346-55,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
104354-11,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104355-82,Early Stage VC,Early Stage,Other,Other,Other
104386-78,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104389-03,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104395-60,Early Stage VC,Missing,Missing,Missing,Missing
104398-57,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104408-20,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104414-77,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104464-72,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104506-57,Early Stage VC,Other,Other,Other,Other
104549-77,Early Stage VC,Early Stage,Other,Other,Other
104563-27,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
104563-63,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104581-45,Early Stage VC,Early Stage,Other,Other,Other
104592-16,Early Stage VC,Early Stage,Later Stage,Later Stage,Later Stage
104611-24,Early Stage VC,Other,Other,Later Stage,Later Stage
104616-91,Early Stage VC,Early Stage,Early Stage,Later Stage,Later Stage
104617-45,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104629-69,Early Stage VC,Early Stage,Early Stage,Early Stage,Later Stage
104637-52,Early Stage VC,Early Stage,Early Stage,Early Stage,Later Stage
104655-16,Early Stage VC,Early Stage,Early Stage,Later Stage,Later Stage
104672-53,Early Stage VC,Other,Other,Other,Other
104678-29,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104679-28,Early Stage VC,Early Stage,Other,Other,Other
104690-17,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104696-02,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104697-82,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104704-48,Early Stage VC,Early Stage,Early Stage,Later Stage,Other
104705-83,Early Stage VC,Later Stage,Other,Later Stage,Later Stage
104722-39,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104745-34,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104749-12,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104780-53,Early Stage VC,Other,Other,Other,Other
104806-81,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
104818-06,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104834-44,Early Stage VC,Early Stage,Other,Other,Later Stage
104835-34,Early Stage VC,Other,Other,Other,Other
104885-83,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
104907-52,Early Stage VC,Other,Other,Other,Other
105014-89,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
105370-57,Early Stage VC,Other,Other,Other,Other
105711-76,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
105744-70,Early Stage VC,Early Stage,Early Stage,Later Stage,Later Stage
105745-42,Early Stage VC,Other,Other,Other,Other
105747-76,Early Stage VC,Other,Other,Other,Other
105752-35,Early Stage VC,Early Stage,Early Stage,Other,Other
105752-89,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
105753-16,Early Stage VC,Other,Other,Other,Other
105769-81,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
105776-29,Early Stage VC,Later Stage,Later Stage,Later Stage,Early Stage
105786-37,Early Stage VC,Other,Other,Later Stage,Later Stage
105788-44,Early Stage VC,Early Stage,Early Stage,Other,Other
105802-93,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
105803-20,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
105803-38,Early Stage VC,Early Stage,Other,Other,Other
105803-65,Early Stage VC,Other,Other,Other,Other
105805-00,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
105807-61,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
105808-51,Early Stage VC,Other,Other,Other,Other
105811-84,Early Stage VC,Other,Other,Other,Other
105812-83,Early Stage VC,Other,Other,Other,Other
105816-43,Early Stage VC,Other,Other,Other,Other
105816-79,Early Stage VC,Later Stage,Later Stage,Other,Other
105816-88,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
105816-97,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
106662-61,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
106663-24,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
106663-96,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
106665-76,Early Stage VC,Early Stage,Early Stage,Other,Other
106666-66,Early Stage VC,Other,Other,Other,Other
